method,kl_div,seed,p,n
cslearn+pc (mle),0.4712198408844833,5,15,500
cslearn+pc (mle),0.5584808242279669,6,15,500
cslearn+pc (mle),0.7874597209014194,7,15,500
cslearn+pc (mle),0.4740008539296262,8,15,500
cslearn+pc (mle),0.762112416681434,9,15,500
cslearn+pc (mle),0.6752014904060548,10,15,500
cslearn+pc (map),0.4655219999713335,1,15,1000
cslearn+pc (map),0.3780816637848735,2,15,1000
cslearn+pc (map),0.2909255047390693,3,15,1000
cslearn+pc (map),0.2353424222659432,4,15,1000
cslearn+pc (map),0.535629670710666,5,15,1000
cslearn+pc (map),0.1780686173282987,6,15,1000
cslearn+pc (map),0.6104866192270013,7,15,1000
cslearn+pc (map),0.4498640231786924,8,15,1000
cslearn+pc (map),0.6824947259314817,9,15,1000
cslearn+pc (map),0.5758152375905392,10,15,1000
cslearn+pc (mle),0.4662171163130465,1,15,1000
cslearn+pc (mle),0.3817826794165439,2,15,1000
cslearn+pc (mle),0.2910310951083591,3,15,1000
cslearn+pc (mle),0.2356512799460896,4,15,1000
cslearn+pc (mle),0.5367046451008013,5,15,1000
cslearn+pc (mle),0.1782308415828526,6,15,1000
cslearn+pc (mle),0.6188082785725904,7,15,1000
cslearn+pc (mle),0.4502389717120577,8,15,1000
cslearn+pc (mle),0.6825210760353412,9,15,1000
cslearn+pc (mle),0.5758946837276946,10,15,1000
cslearn+pc (map),0.3819686104022114,1,15,10000
cslearn+pc (map),0.185875646495199,2,15,10000
cslearn+pc (map),0.2617386100498287,3,15,10000
cslearn+pc (map),0.1687610258068007,4,15,10000
cslearn+pc (map),0.5137312663176317,5,15,10000
cslearn+pc (map),0.2320762686656632,6,15,10000
cslearn+pc (map),0.6107061004832517,7,15,10000
cslearn+pc (map),0.3397610959369092,8,15,10000
cslearn+pc (map),0.5159779575517398,9,15,10000
cslearn+pc (map),0.5044855795891379,10,15,10000
cslearn+pc (mle),0.3819937166931442,1,15,10000
cslearn+pc (mle),0.1858736293700739,2,15,10000
cslearn+pc (mle),0.2617421960537786,3,15,10000
cslearn+pc (mle),0.1688376338169599,4,15,10000
cslearn+pc (mle),0.5137279092541492,5,15,10000
cslearn+pc (mle),0.2320755620783815,6,15,10000
cslearn+pc (mle),0.6107087733097603,7,15,10000
cslearn+pc (mle),0.3397665075455812,8,15,10000
cslearn+pc (mle),0.5159770708707707,9,15,10000
cslearn+pc (mle),0.5044834479738103,10,15,10000
cslearn+pc (map),0.8183904826523101,1,20,250
cslearn+pc (map),0.8402884951787469,2,20,250
cslearn+pc (map),0.8199059525517968,3,20,250
cslearn+pc (map),0.7167373305103796,4,20,250
cslearn+pc (map),0.4121355756392981,5,20,250
cslearn+pc (map),1.1948334240221892,6,20,250
cslearn+pc (map),0.8501898095555581,7,20,250
cslearn+pc (map),1.0670595576616912,8,20,250
cslearn+pc (map),0.8986770225460315,9,20,250
cslearn+pc (map),0.9268373977029174,10,20,250
cslearn+pc (mle),0.8231047752471498,1,20,250
