method,kl_div,seed,p,n
cslearn+grasp (map),0.3929183053867519,10,20,250
cslearn+grasp (mle),0.2859820248817297,1,20,500
cslearn+grasp (mle),0.1663761773838821,2,20,500
cslearn+grasp (mle),0.4884385579022808,3,20,500
cslearn+grasp (mle),0.4833500881228268,4,20,500
cslearn+grasp (mle),0.1404500644111981,5,20,500
cslearn+grasp (mle),0.2621295875955754,6,20,500
cslearn+grasp (mle),0.2601587988034378,7,20,500
cslearn+grasp (mle),0.3241169023025148,8,20,500
cslearn+grasp (mle),0.3193228027051457,9,20,500
cslearn+grasp (mle),0.2626278151326499,10,20,500
cslearn+grasp (map),0.2873269996751099,1,20,500
cslearn+grasp (map),0.1731089208484461,2,20,500
cslearn+grasp (map),0.4874803674924442,3,20,500
cslearn+grasp (map),0.4833521370030445,4,20,500
cslearn+grasp (map),0.1359636014274184,5,20,500
cslearn+grasp (map),0.2598522738736491,6,20,500
cslearn+grasp (map),0.2844964423335074,7,20,500
cslearn+grasp (map),0.324745281442404,8,20,500
cslearn+grasp (map),0.318818120349259,9,20,500
cslearn+grasp (map),0.2599201994146782,10,20,500
cslearn+grasp (mle),0.1557212851632726,1,20,1000
cslearn+grasp (mle),0.1144827964791654,2,20,1000
cslearn+grasp (mle),0.1846556739402066,3,20,1000
cslearn+grasp (mle),0.2724702782423865,4,20,1000
cslearn+grasp (mle),0.1601966986922154,5,20,1000
cslearn+grasp (mle),0.1840550225597691,6,20,1000
cslearn+grasp (mle),0.0810016526717682,7,20,1000
cslearn+grasp (mle),0.2270883271013803,8,20,1000
cslearn+grasp (mle),0.1491568189085188,9,20,1000
cslearn+grasp (mle),0.2225982955504824,10,20,1000
cslearn+grasp (map),0.1569767902774844,1,20,1000
cslearn+grasp (map),0.1232367977880532,2,20,1000
cslearn+grasp (map),0.184461145584019,3,20,1000
cslearn+grasp (map),0.2719126428961487,4,20,1000
cslearn+grasp (map),0.159381937890245,5,20,1000
cslearn+grasp (map),0.1835924751273578,6,20,1000
cslearn+grasp (map),0.0815580179266295,7,20,1000
cslearn+grasp (map),0.2269505223591776,8,20,1000
cslearn+grasp (map),0.1481844518670284,9,20,1000
cslearn+grasp (map),0.2226246082084422,10,20,1000
cslearn+grasp (mle),0.0193340901148527,1,20,10000
cslearn+grasp (mle),0.0159059746521321,2,20,10000
cslearn+grasp (mle),0.023773959633478,3,20,10000
cslearn+grasp (mle),0.0639223479004805,4,20,10000
cslearn+grasp (mle),0.0270437856780824,5,20,10000
cslearn+grasp (mle),0.0136434815038841,6,20,10000
cslearn+grasp (mle),0.0220442026574646,7,20,10000
cslearn+grasp (mle),0.030780014820198,8,20,10000
cslearn+grasp (mle),0.0110731135008283,9,20,10000
cslearn+grasp (mle),0.0403758015498869,10,20,10000
cslearn+grasp (map),0.0193716886616773,1,20,10000
cslearn+grasp (map),0.0159055636365818,2,20,10000
cslearn+grasp (map),0.0237749166660395,3,20,10000
cslearn+grasp (map),0.0639354788854093,4,20,10000
cslearn+grasp (map),0.027003303213274,5,20,10000
cslearn+grasp (map),0.0136412900930151,6,20,10000
cslearn+grasp (map),0.0220302347765104,7,20,10000
cslearn+grasp (map),0.0307759876324813,8,20,10000
cslearn+grasp (map),0.01106986488444,9,20,10000
cslearn+grasp (map),0.0406035439004193,10,20,10000
grasp (mle),0.0034675239786228,1,5,10000
grasp (mle),0.0026218154000053,2,5,10000
grasp (mle),0.0027554744523513,3,5,10000
grasp (mle),0.0009802328638292,4,5,10000
grasp (mle),0.0154190829243801,5,5,10000
grasp (mle),0.0027604801220323,6,5,10000
grasp (mle),0.0014633456313161,7,5,10000
grasp (mle),0.0018947679568659,8,5,10000
grasp (mle),0.0025841634950723,9,5,10000
grasp (mle),0.0009149222668564,10,5,10000
grasp (mle),0.0017818277113854,1,7,10000
grasp (mle),0.0014855903164999,2,7,10000
grasp (mle),0.0097024317407935,3,7,10000
grasp (mle),0.0018347086441353,4,7,10000
grasp (mle),0.0043506481878926,5,7,10000
grasp (mle),0.0032630568557,6,7,10000
grasp (mle),0.0033318407761051,7,7,10000
grasp (mle),0.0026210171352603,8,7,10000
grasp (mle),0.0018563756092171,9,7,10000
grasp (mle),0.0042110333748427,10,7,10000
grasp (mle),0.0040631174097189,1,10,10000
grasp (mle),0.0027955774299212,2,10,10000
grasp (mle),0.0084298419255476,3,10,10000
grasp (mle),0.0024373919919058,4,10,10000
grasp (mle),0.0085701604449244,5,10,10000
grasp (mle),0.0078080585446615,6,10,10000
grasp (mle),0.00755853181259,7,10,10000
grasp (mle),0.0068792984156277,8,10,10000
grasp (mle),0.0057606237520585,9,10,10000
grasp (mle),0.0131219718916039,10,10,10000
grasp (mle),6.604399463791416,1,15,10000
grasp (mle),5.732505857302728,2,15,10000
grasp (mle),4.6789828778206575,3,15,10000
grasp (mle),3.824778433303901,4,15,10000
grasp (mle),8.944743116789375,5,15,10000
grasp (mle),4.431631415705667,6,15,10000
grasp (mle),7.045294561574357,7,15,10000
grasp (mle),5.296328046779941,8,15,10000
grasp (mle),6.040085375658512,9,15,10000
grasp (mle),5.460794779597127,10,15,10000
grasp (mle),7.949935511136455,1,20,10000
grasp (mle),8.479088835805976,2,20,10000
grasp (mle),8.494331573296142,3,20,10000
grasp (mle),7.033258973191813,4,20,10000
grasp (mle),10.377506840075332,5,20,10000
grasp (mle),8.510791551207964,6,20,10000
grasp (mle),10.16106854272422,7,20,10000
grasp (mle),8.960601887131157,8,20,10000
grasp (mle),10.575431554014262,9,20,10000
grasp (mle),7.451663873892388,10,20,10000
